Date,Region,New_Cases,Hospitalizations,Deaths,Temperature_Avg_C,Humidity_Avg_Percent,Population_Density
2023-01-01,Northwood,39.0,1.0,0.0,21.71,77.65,1500
2023-01-01,Southcreek,31.0,1.0,0.0,8.15,81.57,800
2023-01-01,Eastborough,32.0,1.0,0.0,12.32,74.24,2200
2023-01-01,Westridge,36.0,1.0,0.0,16.82,73.89,1200
2023-01-02,Northwood,37.0,1.0,0.0,20.69,79.42,1500
2023-01-02,Southcreek,37.0,1.0,0.0,10.99,78.07,800
2023-01-02,Eastborough,36.0,2.0,0.0,14.73,77.6,2200
2023-01-02,Westridge,35.0,2.0,0.0,16.07,76.77,1200
2023-01-03,Northwood,28.0,0.0,0.0,22.16,80.42,1500
2023-01-03,Southcreek,38.0,1.0,0.0,8.9,77.48,800
2023-01-03,Eastborough,41.0,1.0,0.0,14.86,81.47,2200
2023-01-03,Westridge,29.0,2.0,0.0,19.29,80.86,1200
2023-01-04,Northwood,43.0,1.0,0.0,25.61,79.01,1500
2023-01-04,Southcreek,34.0,1.0,0.0,13.49,72.97,800
2023-01-04,Eastborough,24.0,0.0,0.0,14.56,72.22,2200
2023-01-04,Westridge,39.0,2.0,0.0,14.12,78.37,1200
2023-01-05,Northwood,28.0,0.0,0.0,21.23,81.26,1500
2023-01-05,Southcreek,42.0,2.0,0.0,11.45,76.39,800
2023-01-05,Eastborough,54.0,3.0,0.0,14.22,84.07,2200
2023-01-05,Westridge,36.0,2.0,0.0,16.41,84.1,1200
2023-01-06,Northwood,42.0,1.0,0.0,19.32,74.59,1500
2023-01-06,Southcreek,39.0,2.0,0.0,,73.72,800
2023-01-06,Eastborough,42.0,3.0,0.0,13.75,85.36,2200
2023-01-06,Westridge,39.0,2.0,0.0,17.94,83.2,1200
2023-01-07,Northwood,65.0,2.0,0.0,17.47,77.57,1500
2023-01-07,Southcreek,40.0,2.0,0.0,11.29,76.67,800
2023-01-07,Eastborough,31.0,1.0,0.0,17.91,82.45,2200
2023-01-07,Westridge,33.0,1.0,0.0,13.68,84.52,1200
2023-01-08,Northwood,35.0,1.0,0.0,20.4,82.12,1500
2023-01-08,Southcreek,38.0,1.0,0.0,14.64,72.75,800
